กำลังอ่านข้อมูลจาก MSSQL...
พบข้อมูลทั้งหมด: 47536 รายการ
กำลังนำเข้าข้อมูล...

[242/47536] DB1:I:241 U:0 | DB2:I:241 U:0 
[243/47536] DB1:I:242 U:0 | DB2:I:242 U:0 
[244/47536] DB1:I:243 U:0 | DB2:I:243 U:0 
[245/47536] DB1:I:244 U:0 | DB2:I:244 U:0 
[246/47536] DB1:I:245 U:0 | DB2:I:245 U:0 
[247/47536] DB1:I:246 U:0 | DB2:I:246 U:0 
[248/47536] DB1:I:247 U:0 | DB2:I:247 U:0 
[249/47536] DB1:I:248 U:0 | DB2:I:248 U:0 
[250/47536] DB1:I:249 U:0 | DB2:I:249 U:0 
[251/47536] DB1:I:250 U:0 | DB2:I:250 U:0 
[252/47536] DB1:I:251 U:0 | DB2:I:251 U:0 
[253/47536] DB1:I:252 U:0 | DB2:I:252 U:0 
[254/47536] DB1:I:253 U:0 | DB2:I:253 U:0 
[255/47536] DB1:I:254 U:0 | DB2:I:254 U:0 
[256/47536] DB1:I:255 U:0 | DB2:I:255 U:0 
[257/47536] DB1:I:256 U:0 | DB2:I:256 U:0 
[258/47536] DB1:I:257 U:0 | DB2:I:257 U:0 
[259/47536] DB1:I:258 U:0 | DB2:I:258 U:0 
[260/47536] DB1:I:259 U:0 | DB2:I:259 U:0 
[261/47536] DB1:I:260 U:0 | DB2:I:260 U:0 
[262/47536] DB1:I:261 U:0 | DB2:I:261 U:0 
[263/47536] DB1:I:262 U:0 | DB2:I:262 U:0 
[264/47536] DB1:I:263 U:0 | DB2:I:263 U:0 
[265/47536] DB1:I:264 U:0 | DB2:I:264 U:0 
[266/47536] DB1:I:265 U:0 | DB2:I:265 U:0 
[267/47536] DB1:I:266 U:0 | DB2:I:266 U:0 
[268/47536] DB1:I:267 U:0 | DB2:I:267 U:0 
[269/47536] DB1:I:268 U:0 | DB2:I:268 U:0 
[270/47536] DB1:I:269 U:0 | DB2:I:269 U:0 
[271/47536] DB1:I:270 U:0 | DB2:I:270 U:0 
[272/47536] DB1:I:271 U:0 | DB2:I:271 U:0 
[273/47536] DB1:I:272 U:0 | DB2:I:272 U:0 
[274/47536] DB1:I:273 U:0 | DB2:I:273 U:0 
[275/47536] DB1:I:274 U:0 | DB2:I:274 U:0 
[276/47536] DB1:I:275 U:0 | DB2:I:275 U:0 
[277/47536] DB1:I:276 U:0 | DB2:I:276 U:0 
[278/47536] DB1:I:277 U:0 | DB2:I:277 U:0 
[279/47536] DB1:I:278 U:0 | DB2:I:278 U:0 
[280/47536] DB1:I:279 U:0 | DB2:I:279 U:0 
[281/47536] DB1:I:280 U:0 | DB2:I:280 U:0 
[282/47536] DB1:I:281 U:0 | DB2:I:281 U:0 
[283/47536] DB1:I:282 U:0 | DB2:I:282 U:0 
[284/47536] DB1:I:283 U:0 | DB2:I:283 U:0 
[285/47536] DB1:I:284 U:0 | DB2:I:284 U:0 
[286/47536] DB1:I:285 U:0 | DB2:I:285 U:0 
[287/47536] DB1:I:286 U:0 | DB2:I:286 U:0 
[288/47536] DB1:I:287 U:0 | DB2:I:287 U:0 
[289/47536] DB1:I:288 U:0 | DB2:I:288 U:0 
[290/47536] DB1:I:289 U:0 | DB2:I:289 U:0 
[291/47536] DB1:I:290 U:0 | DB2:I:290 U:0 
[292/47536] DB1:I:291 U:0 | DB2:I:291 U:0 
[293/47536] DB1:I:292 U:0 | DB2:I:292 U:0 
[294/47536] DB1:I:293 U:0 | DB2:I:293 U:0 
[295/47536] DB1:I:294 U:0 | DB2:I:294 U:0 
[296/47536] DB1:I:295 U:0 | DB2:I:295 U:0 
[297/47536] DB1:I:296 U:0 | DB2:I:296 U:0 
[298/47536] DB1:I:297 U:0 | DB2:I:297 U:0 
[299/47536] DB1:I:298 U:0 | DB2:I:298 U:0 
[300/47536] DB1:I:299 U:0 | DB2:I:299 U:0 
[301/47536] DB1:I:300 U:0 | DB2:I:300 U:0 
[302/47536] DB1:I:301 U:0 | DB2:I:301 U:0 
[303/47536] DB1:I:302 U:0 | DB2:I:302 U:0 
[304/47536] DB1:I:303 U:0 | DB2:I:303 U:0 
[305/47536] DB1:I:304 U:0 | DB2:I:304 U:0 
[306/47536] DB1:I:305 U:0 | DB2:I:305 U:0 
[307/47536] DB1:I:306 U:0 | DB2:I:306 U:0 
[308/47536] DB1:I:307 U:0 | DB2:I:307 U:0 
[309/47536] DB1:I:308 U:0 | DB2:I:308 U:0 
[310/47536] DB1:I:309 U:0 | DB2:I:309 U:0 
[311/47536] DB1:I:310 U:0 | DB2:I:310 U:0 
[312/47536] DB1:I:311 U:0 | DB2:I:311 U:0 
[313/47536] DB1:I:312 U:0 | DB2:I:312 U:0 
[314/47536] DB1:I:313 U:0 | DB2:I:313 U:0 
[315/47536] DB1:I:314 U:0 | DB2:I:314 U:0 
[316/47536] DB1:I:315 U:0 | DB2:I:315 U:0 
[317/47536] DB1:I:316 U:0 | DB2:I:316 U:0 
[318/47536] DB1:I:317 U:0 | DB2:I:317 U:0 
[319/47536] DB1:I:318 U:0 | DB2:I:318 U:0 
[320/47536] DB1:I:319 U:0 | DB2:I:319 U:0 
[321/47536] DB1:I:320 U:0 | DB2:I:320 U:0 
[322/47536] DB1:I:321 U:0 | DB2:I:321 U:0 
[323/47536] DB1:I:322 U:0 | DB2:I:322 U:0 
[324/47536] DB1:I:323 U:0 | DB2:I:323 U:0 
[325/47536] DB1:I:324 U:0 | DB2:I:324 U:0 
[326/47536] DB1:I:325 U:0 | DB2:I:325 U:0 
[327/47536] DB1:I:326 U:0 | DB2:I:326 U:0 
[328/47536] DB1:I:327 U:0 | DB2:I:327 U:0 
[329/47536] DB1:I:328 U:0 | DB2:I:328 U:0 
[330/47536] DB1:I:329 U:0 | DB2:I:329 U:0 
[331/47536] DB1:I:330 U:0 | DB2:I:330 U:0 
[332/47536] DB1:I:331 U:0 | DB2:I:331 U:0 
[333/47536] DB1:I:332 U:0 | DB2:I:332 U:0 
[334/47536] DB1:I:333 U:0 | DB2:I:333 U:0 
[335/47536] DB1:I:334 U:0 | DB2:I:334 U:0 
[336/47536] DB1:I:335 U:0 | DB2:I:335 U:0 
[337/47536] DB1:I:336 U:0 | DB2:I:336 U:0 
[338/47536] DB1:I:337 U:0 | DB2:I:337 U:0 
[339/47536] DB1:I:338 U:0 | DB2:I:338 U:0 
[340/47536] DB1:I:339 U:0 | DB2:I:339 U:0 
[341/47536] DB1:I:340 U:0 | DB2:I:340 U:0 
[342/47536] DB1:I:341 U:0 | DB2:I:341 U:0 
[343/47536] DB1:I:342 U:0 | DB2:I:342 U:0 
[344/47536] DB1:I:343 U:0 | DB2:I:343 U:0 
[345/47536] DB1:I:344 U:0 | DB2:I:344 U:0 
[346/47536] DB1:I:345 U:0 | DB2:I:345 U:0 
[347/47536] DB1:I:346 U:0 | DB2:I:346 U:0 
[348/47536] DB1:I:347 U:0 | DB2:I:347 U:0 
[349/47536] DB1:I:348 U:0 | DB2:I:348 U:0 
[350/47536] DB1:I:349 U:0 | DB2:I:349 U:0 
[351/47536] DB1:I:350 U:0 | DB2:I:350 U:0 
[352/47536] DB1:I:351 U:0 | DB2:I:351 U:0 
[353/47536] DB1:I:352 U:0 | DB2:I:352 U:0 
[354/47536] DB1:I:353 U:0 | DB2:I:353 U:0 
[355/47536] DB1:I:354 U:0 | DB2:I:354 U:0 
[356/47536] DB1:I:355 U:0 | DB2:I:355 U:0 
[357/47536] DB1:I:356 U:0 | DB2:I:356 U:0 
[358/47536] DB1:I:357 U:0 | DB2:I:357 U:0 
[359/47536] DB1:I:358 U:0 | DB2:I:358 U:0 
[360/47536] DB1:I:359 U:0 | DB2:I:359 U:0 
[361/47536] DB1:I:360 U:0 | DB2:I:360 U:0 
[362/47536] DB1:I:361 U:0 | DB2:I:361 U:0 
[363/47536] DB1:I:362 U:0 | DB2:I:362 U:0 
[364/47536] DB1:I:363 U:0 | DB2:I:363 U:0 
[365/47536] DB1:I:364 U:0 | DB2:I:364 U:0 
[366/47536] DB1:I:365 U:0 | DB2:I:365 U:0 
[367/47536] DB1:I:366 U:0 | DB2:I:366 U:0 
[368/47536] DB1:I:367 U:0 | DB2:I:367 U:0 
[369/47536] DB1:I:368 U:0 | DB2:I:368 U:0 
[370/47536] DB1:I:369 U:0 | DB2:I:369 U:0 
[371/47536] DB1:I:370 U:0 | DB2:I:370 U:0 
[372/47536] DB1:I:371 U:0 | DB2:I:371 U:0 
[373/47536] DB1:I:372 U:0 | DB2:I:372 U:0 
[374/47536] DB1:I:373 U:0 | DB2:I:373 U:0 
[375/47536] DB1:I:374 U:0 | DB2:I:374 U:0 
[376/47536] DB1:I:375 U:0 | DB2:I:375 U:0 
[377/47536] DB1:I:376 U:0 | DB2:I:376 U:0 
[378/47536] DB1:I:377 U:0 | DB2:I:377 U:0 
[379/47536] DB1:I:378 U:0 | DB2:I:378 U:0 
[380/47536] DB1:I:379 U:0 | DB2:I:379 U:0 
[381/47536] DB1:I:380 U:0 | DB2:I:380 U:0 
[382/47536] DB1:I:381 U:0 | DB2:I:381 U:0 
[383/47536] DB1:I:382 U:0 | DB2:I:382 U:0 
[384/47536] DB1:I:383 U:0 | DB2:I:383 U:0 
[385/47536] DB1:I:384 U:0 | DB2:I:384 U:0 
[386/47536] DB1:I:385 U:0 | DB2:I:385 U:0 
[387/47536] DB1:I:386 U:0 | DB2:I:386 U:0 
[388/47536] DB1:I:387 U:0 | DB2:I:387 U:0 
[389/47536] DB1:I:388 U:0 | DB2:I:388 U:0 
[390/47536] DB1:I:389 U:0 | DB2:I:389 U:0 
[391/47536] DB1:I:390 U:0 | DB2:I:390 U:0 
[392/47536] DB1:I:391 U:0 | DB2:I:391 U:0 
[393/47536] DB1:I:392 U:0 | DB2:I:392 U:0 
[394/47536] DB1:I:393 U:0 | DB2:I:393 U:0 
[395/47536] DB1:I:394 U:0 | DB2:I:394 U:0 
[396/47536] DB1:I:395 U:0 | DB2:I:395 U:0 
[397/47536] DB1:I:396 U:0 | DB2:I:396 U:0 
[398/47536] DB1:I:397 U:0 | DB2:I:397 U:0 
[399/47536] DB1:I:398 U:0 | DB2:I:398 U:0 
[400/47536] DB1:I:399 U:0 | DB2:I:399 U:0 
[401/47536] DB1:I:400 U:0 | DB2:I:400 U:0 
[402/47536] DB1:I:401 U:0 | DB2:I:401 U:0 
[403/47536] DB1:I:402 U:0 | DB2:I:402 U:0 
[404/47536] DB1:I:403 U:0 | DB2:I:403 U:0 
[405/47536] DB1:I:404 U:0 | DB2:I:404 U:0 
[406/47536] DB1:I:405 U:0 | DB2:I:405 U:0 
[407/47536] DB1:I:406 U:0 | DB2:I:406 U:0 
[408/47536] DB1:I:407 U:0 | DB2:I:407 U:0 
[409/47536] DB1:I:408 U:0 | DB2:I:408 U:0 
[410/47536] DB1:I:409 U:0 | DB2:I:409 U:0 
[411/47536] DB1:I:410 U:0 | DB2:I:410 U:0 
[412/47536] DB1:I:411 U:0 | DB2:I:411 U:0 
[413/47536] DB1:I:412 U:0 | DB2:I:412 U:0 
[414/47536] DB1:I:413 U:0 | DB2:I:413 U:0 
[415/47536] DB1:I:414 U:0 | DB2:I:414 U:0 
[416/47536] DB1:I:415 U:0 | DB2:I:415 U:0 
[417/47536] DB1:I:416 U:0 | DB2:I:416 U:0 
[418/47536] DB1:I:417 U:0 | DB2:I:417 U:0 
[419/47536] DB1:I:418 U:0 | DB2:I:418 U:0 
[420/47536] DB1:I:419 U:0 | DB2:I:419 U:0 
[421/47536] DB1:I:420 U:0 | DB2:I:420 U:0 
[422/47536] DB1:I:421 U:0 | DB2:I:421 U:0 
[423/47536] DB1:I:422 U:0 | DB2:I:422 U:0 
[424/47536] DB1:I:423 U:0 | DB2:I:423 U:0 
[425/47536] DB1:I:424 U:0 | DB2:I:424 U:0 
[426/47536] DB1:I:425 U:0 | DB2:I:425 U:0 
[427/47536] DB1:I:426 U:0 | DB2:I:426 U:0 
